Company,Sector,Country,Market_Cap_Billions,Carbon_Emissions,Renewable_Energy_Usage,Employee_Satisfaction,Diversity_Ratio,Board_Independence,CEO_Compensation_Ratio,ROE
Company_1,Finance,UK,69.84,123.56,72.67,41.81,0.24,0.76,66.56,4.87
Company_2,Consumer Goods,UK,9.96,165.67,36.31,56.98,0.39,0.45,134.58,15.83
Company_3,Consumer Goods,Germany,52.77,19.08,58.42,49.77,0.55,0.61,80.5,6.99
Company_4,Technology,India,68.57,126.19,44.37,64.85,0.25,0.72,89.95,12.87
Company_5,Energy,Japan,5.0,10.0,60.0,69.44,0.25,0.77,110.14,5.12
Company_6,Energy,USA,54.34,83.11,12.36,42.82,0.12,0.8,144.75,10.24
Company_7,Energy,India,5.72,72.43,25.11,49.65,0.59,0.82,131.33,15.63
Company_8,Technology,USA,97.04,97.7,25.4,84.44,0.37,0.83,104.5,5.9
Company_9,Consumer Goods,India,69.15,191.63,35.34,62.64,0.51,0.82,129.95,14.7
Company_10,Finance,USA,52.2,138.06,61.41,86.02,0.13,0.84,156.77,19.15
Company_11,Energy,Canada,103.96,93.14,34.3,41.65,0.44,0.54,79.02,17.84
Company_12,Consumer Goods,India,24.45,93.71,16.89,81.93,0.4,0.86,116.5,5.8
Company_13,Utilities,Germany,64.32,49.14,17.38,78.91,0.57,0.64,55.39,5.32
Company_14,Consumer Goods,Japan,19.46,109.82,51.57,89.68,0.59,0.57,110.64,3.5
Company_15,Utilities,UK,32.12,111.05,40.82,58.74,0.53,0.89,144.81,9.6
Company_16,Consumer Goods,Canada,66.94,36.92,65.77,71.14,0.18,0.71,84.98,10.17
Company_17,Technology,Japan,23.47,72.6,36.57,66.49,0.4,0.59,130.86,10.1
Company_18,Healthcare,India,30.46,144.87,78.5,87.52,0.32,0.71,30.0,17.44
Company_19,Energy,USA,67.14,94.1,42.14,68.7,0.38,0.65,107.61,-0.11
Company_20,Finance,Germany,97.31,71.62,41.52,88.43,0.26,0.72,44.02,4.81
Company_21,Consumer Goods,UK,43.56,145.25,6.48,45.16,0.25,0.45,101.09,12.02
Company_22,Finance,UK,5.0,142.53,44.55,60.68,0.42,0.57,122.73,9.6
Company_23,Energy,India,5.0,95.6,25.59,61.61,0.46,0.84,145.13,2.3
Company_24,Technology,India,61.39,58.1,19.41,54.34,0.23,0.64,137.59,4.5
Company_25,Finance,India,62.87,88.77,56.11,65.92,0.38,0.62,52.99,8.72
Company_26,Energy,Canada,32.47,151.23,19.82,82.6,0.3,0.42,155.17,16.33
Company_27,Consumer Goods,USA,66.19,75.94,25.86,51.2,0.35,0.43,123.54,15.04
Company_28,Technology,India,45.06,15.34,47.55,58.36,0.41,0.78,55.79,12.76
Company_29,Healthcare,India,45.17,73.37,59.33,41.88,0.25,0.55,128.14,18.93
Company_30,Healthcare,UK,48.24,123.23,18.63,75.49,0.28,0.61,121.82,13.28
Company_31,Consumer Goods,India,27.46,126.87,44.07,70.83,0.24,0.49,64.63,16.3
Company_32,Technology,UK,62.73,58.88,51.59,57.76,0.29,0.51,107.87,15.63
Company_33,Energy,Canada,53.14,117.63,51.3,80.63,0.11,0.85,80.75,2.01
Company_34,Finance,India,45.88,61.42,43.47,80.59,0.58,0.9,146.95,9.26
Company_35,Healthcare,Canada,71.84,180.85,56.09,73.31,0.16,0.4,97.7,12.98
Company_36,Technology,Canada,54.9,102.51,76.08,84.59,0.36,0.41,125.02,20.67
Company_37,Consumer Goods,UK,45.71,125.46,26.53,55.17,0.33,0.81,83.93,6.78
Company_38,Energy,UK,71.05,144.54,78.06,60.85,0.56,0.71,55.29,7.65
Company_39,Healthcare,UK,39.61,74.0,20.03,82.22,0.5,0.52,49.49,6.41
Company_40,Energy,UK,12.3,157.85,55.79,60.91,0.33,0.75,56.11,12.2
Company_41,Utilities,Canada,5.0,39.77,13.03,61.42,0.43,0.69,125.4,8.39
Company_42,Technology,UK,5.0,13.57,35.5,44.46,0.23,0.55,157.87,12.01
Company_43,Technology,Canada,89.23,82.01,12.99,54.89,0.32,0.87,160.51,12.89
Company_44,Energy,Germany,27.12,221.92,69.73,78.44,0.57,0.66,118.36,10.61
Company_45,Utilities,USA,16.3,36.42,44.5,83.74,0.49,0.67,93.8,7.95
Company_46,Technology,Germany,39.89,93.57,27.6,66.47,0.15,0.86,77.22,7.82
Company_47,Finance,UK,37.11,96.55,34.01,80.26,0.15,0.87,100.69,8.86
Company_48,Healthcare,USA,75.72,164.87,33.85,73.45,0.47,0.59,199.59,8.35
Company_49,Utilities,USA,66.01,23.2,32.8,44.25,0.6,0.9,67.34,16.0
Company_50,Healthcare,Canada,43.64,114.26,41.25,67.47,0.35,0.8,77.85,17.73
Company_51,Technology,Germany,41.51,89.66,70.64,71.34,0.6,0.76,134.88,17.26
Company_52,Healthcare,India,27.65,121.36,52.88,65.97,0.51,0.68,169.54,8.6
Company_53,Utilities,Germany,7.43,125.56,71.63,58.01,0.15,0.45,103.91,11.59
Company_54,Healthcare,India,60.24,17.67,42.84,81.82,0.5,0.53,129.35,5.3
Company_55,Consumer Goods,USA,49.81,125.84,49.39,82.43,0.51,0.41,30.0,3.87
Company_56,Utilities,Japan,37.81,17.06,40.62,55.94,0.16,0.88,82.8,12.86
Company_57,Utilities,Germany,118.52,91.31,72.66,75.09,0.23,0.53,84.87,9.79
Company_58,Healthcare,India,89.36,87.56,46.72,69.6,0.13,0.55,44.56,13.95
Company_59,Healthcare,USA,111.81,61.4,79.55,51.76,0.21,0.51,100.64,1.92
Company_60,Energy,Canada,78.55,62.64,13.79,54.72,0.51,0.81,76.39,4.92
Company_61,Finance,India,5.0,120.31,71.31,86.8,0.35,0.49,55.8,6.49
Company_62,Utilities,Canada,72.09,56.33,49.17,57.01,0.58,0.47,92.77,13.53
Company_63,Energy,India,5.0,102.46,30.37,44.53,0.43,0.62,90.78,19.61
Company_64,Healthcare,USA,71.12,145.37,14.34,53.19,0.48,0.41,85.24,0.88
Company_65,Utilities,UK,128.73,128.75,73.81,64.56,0.29,0.61,79.33,9.32
Company_66,Utilities,USA,62.78,170.35,9.15,85.05,0.13,0.68,79.47,11.5
Company_67,Utilities,India,64.23,157.53,6.39,89.51,0.37,0.8,54.25,12.19
Company_68,Healthcare,Germany,49.51,15.39,68.29,46.23,0.37,0.65,114.84,12.58
Company_69,Consumer Goods,Canada,116.67,16.63,32.43,49.65,0.52,0.49,94.76,11.59
Company_70,Consumer Goods,UK,7.94,10.0,43.51,44.54,0.3,0.74,101.88,19.82
Company_71,Utilities,Canada,14.97,84.9,23.81,79.4,0.34,0.75,121.94,14.73
Company_72,Consumer Goods,Germany,97.46,158.66,12.62,77.51,0.32,0.64,60.68,12.46
Company_73,Utilities,India,43.77,120.56,72.94,54.94,0.46,0.77,102.4,12.28
Company_74,Finance,Canada,32.21,18.64,41.65,51.28,0.36,0.69,128.34,6.42
Company_75,Consumer Goods,India,34.89,42.76,72.62,76.23,0.24,0.5,52.65,4.04
Company_76,Technology,UK,50.07,53.1,13.86,40.85,0.14,0.64,89.24,12.17
Company_77,Healthcare,India,70.72,37.6,13.54,65.77,0.48,0.6,134.54,16.37
Company_78,Utilities,Japan,46.69,61.78,32.22,79.05,0.17,0.79,144.67,4.27
Company_79,Energy,India,71.24,47.65,66.99,56.14,0.58,0.66,78.64,5.79
Company_80,Healthcare,UK,5.0,108.29,34.6,80.8,0.18,0.51,142.12,17.52
Company_81,Finance,Canada,75.93,168.1,70.55,68.42,0.2,0.74,139.87,6.1
Company_82,Utilities,India,55.56,48.4,37.21,43.72,0.42,0.64,75.94,19.82
Company_83,Technology,UK,73.31,149.44,32.16,85.37,0.47,0.59,140.53,5.91
Company_84,Healthcare,Germany,65.96,83.55,14.61,79.05,0.27,0.81,119.98,14.98
Company_85,Consumer Goods,UK,80.2,100.19,38.29,59.26,0.29,0.89,42.24,13.8
Company_86,Finance,India,27.35,56.35,28.27,40.48,0.29,0.83,112.59,1.13
Company_87,Consumer Goods,Canada,45.45,61.62,28.57,54.02,0.56,0.41,158.56,5.68
Company_88,Finance,UK,41.77,109.3,45.17,57.04,0.29,0.87,90.12,14.79
Company_89,Finance,India,53.15,141.79,68.18,86.47,0.21,0.42,104.91,1.85
Company_90,Healthcare,Japan,37.81,78.22,39.32,69.1,0.18,0.5,139.47,4.22
Company_91,Technology,USA,75.18,84.48,43.96,79.96,0.59,0.67,40.81,6.13
Company_92,Healthcare,Japan,38.64,155.05,45.72,76.75,0.14,0.42,118.15,22.17
Company_93,Utilities,India,100.2,91.89,63.48,46.66,0.52,0.53,120.12,9.19
Company_94,Healthcare,Canada,69.33,146.92,79.49,85.13,0.2,0.69,101.75,10.6
Company_95,Energy,USA,62.52,19.18,29.27,47.94,0.27,0.4,146.03,11.02
Company_96,Utilities,Canada,63.49,30.62,10.7,41.43,0.17,0.76,119.19,13.23
Company_97,Technology,India,18.18,190.64,13.51,72.76,0.46,0.86,112.53,11.12
Company_98,Utilities,Germany,98.21,88.16,12.18,87.67,0.29,0.42,135.84,9.61
Company_99,Consumer Goods,India,64.54,48.45,43.43,78.67,0.3,0.42,134.24,14.75
Company_100,Healthcare,Canada,5.0,111.43,40.61,78.23,0.54,0.52,107.92,9.21
Company_101,Utilities,USA,93.16,115.5,78.95,44.32,0.4,0.89,121.01,5.61
Company_102,Utilities,Germany,50.82,35.94,44.23,84.19,0.12,0.88,78.96,7.02
Company_103,Utilities,UK,61.02,104.95,65.72,67.06,0.48,0.78,78.73,8.22
Company_104,Energy,India,26.48,58.14,41.86,88.22,0.47,0.59,77.46,18.68
Company_105,Healthcare,Canada,97.33,133.4,51.24,80.34,0.57,0.71,105.67,10.11
Company_106,Finance,Japan,19.17,69.59,72.95,76.03,0.58,0.77,107.8,11.36
Company_107,Technology,UK,87.98,114.22,32.78,52.12,0.56,0.46,98.01,16.48
Company_108,Finance,Canada,80.39,97.05,13.98,59.89,0.34,0.52,42.98,6.93
Company_109,Technology,India,36.74,118.71,47.92,54.6,0.31,0.49,157.95,11.76
Company_110,Energy,Japan,50.49,90.13,7.34,68.17,0.4,0.52,73.67,2.94
Company_111,Healthcare,Germany,64.87,212.88,6.03,68.47,0.49,0.76,94.35,12.04
Company_112,Finance,UK,13.21,62.25,14.47,80.84,0.45,0.63,44.54,5.06
Company_113,Energy,Germany,77.23,120.82,9.49,51.05,0.28,0.79,215.58,5.75
Company_114,Utilities,UK,62.75,10.74,21.52,71.52,0.43,0.53,92.01,14.08
Company_115,Consumer Goods,UK,40.56,52.82,37.66,49.0,0.51,0.63,121.33,9.31
Company_116,Energy,Canada,24.45,81.07,56.32,50.98,0.12,0.57,30.0,13.45
Company_117,Technology,Canada,25.54,68.66,49.03,84.05,0.1,0.49,62.94,5.13
Company_118,Energy,UK,107.5,53.86,31.15,77.17,0.34,0.63,105.48,15.96
Company_119,Healthcare,Germany,28.25,119.52,35.89,46.23,0.52,0.83,133.65,9.04
Company_120,Finance,Canada,48.92,150.63,61.17,67.74,0.37,0.85,161.58,5.54
Company_121,Technology,India,43.89,74.97,60.44,54.97,0.46,0.51,73.32,10.53
Company_122,Finance,USA,55.83,73.05,47.01,56.95,0.47,0.73,119.53,4.55
Company_123,Technology,Canada,82.3,132.96,33.48,85.09,0.48,0.76,130.24,11.75
Company_124,Finance,USA,54.46,38.13,77.53,57.09,0.11,0.79,70.28,13.29
Company_125,Technology,India,45.53,54.78,40.18,74.65,0.56,0.89,61.71,13.52
Company_126,Consumer Goods,USA,71.28,89.82,67.96,64.38,0.33,0.7,34.1,13.22
Company_127,Technology,Japan,20.6,122.18,31.2,83.12,0.42,0.7,42.15,8.68
Company_128,Energy,Japan,39.65,82.39,76.91,67.29,0.27,0.76,50.78,14.57
Company_129,Healthcare,Canada,77.05,67.37,29.59,82.89,0.29,0.8,127.08,9.56
Company_130,Utilities,Canada,56.4,108.79,68.16,62.2,0.14,0.88,96.18,-1.81
Company_131,Technology,UK,5.84,147.79,25.04,45.92,0.42,0.76,86.45,13.94
Company_132,Finance,India,50.75,78.02,76.45,77.38,0.45,0.49,30.0,0.55
Company_133,Utilities,India,63.38,147.18,66.76,56.06,0.35,0.71,153.53,21.26
Company_134,Utilities,India,5.0,46.91,75.52,63.89,0.3,0.53,144.37,5.48
Company_135,Utilities,Canada,47.5,67.96,18.9,76.1,0.12,0.48,32.24,3.91
Company_136,Energy,India,100.45,38.07,52.44,60.89,0.37,0.55,87.62,6.16
Company_137,Energy,Japan,25.22,67.24,18.97,78.38,0.19,0.82,144.46,3.99
Company_138,Healthcare,Japan,81.28,168.98,55.11,76.67,0.36,0.78,105.51,7.36
Company_139,Utilities,USA,11.76,23.42,43.35,67.9,0.15,0.66,66.62,15.66
Company_140,Utilities,USA,66.83,70.81,34.52,57.33,0.56,0.5,54.2,13.32
Company_141,Technology,India,58.14,92.96,34.9,71.75,0.57,0.47,89.49,13.93
Company_142,Healthcare,Germany,71.71,91.45,14.0,74.55,0.18,0.73,99.91,9.01
Company_143,Finance,UK,77.4,15.8,30.98,76.37,0.27,0.6,144.57,10.71
Company_144,Finance,USA,57.48,86.2,23.66,69.1,0.37,0.71,128.52,11.62
Company_145,Energy,Canada,55.15,40.47,55.39,59.75,0.31,0.78,78.8,16.55
Company_146,Finance,USA,19.07,33.55,79.14,77.44,0.48,0.67,30.0,9.83
Company_147,Consumer Goods,India,22.11,39.03,32.07,41.17,0.45,0.78,68.19,7.29
Company_148,Utilities,India,75.09,130.34,51.19,47.52,0.16,0.68,101.56,7.02
Company_149,Finance,Canada,73.77,73.22,10.59,45.03,0.46,0.65,30.0,6.33
Company_150,Technology,USA,64.73,168.85,53.29,69.8,0.21,0.52,137.36,21.83
Company_151,Energy,USA,71.45,81.64,29.83,65.64,0.47,0.84,47.04,17.26
Company_152,Healthcare,USA,26.63,44.58,15.44,40.59,0.51,0.69,127.63,19.64
Company_153,Utilities,India,125.56,216.08,38.75,87.84,0.55,0.55,87.62,15.97
Company_154,Technology,UK,29.81,123.7,33.05,88.62,0.14,0.43,75.01,-2.28
Company_155,Finance,Canada,26.38,64.17,14.34,49.11,0.27,0.43,78.27,16.58
Company_156,Finance,UK,51.52,138.05,31.16,48.21,0.11,0.48,75.61,17.04
Company_157,Consumer Goods,India,49.3,123.88,28.87,46.57,0.51,0.73,61.05,14.31
Company_158,Healthcare,Canada,5.0,116.32,6.35,47.73,0.21,0.59,30.0,15.28
Company_159,Energy,Canada,59.59,145.31,12.27,65.83,0.22,0.82,81.92,14.92
Company_160,Energy,Canada,44.32,127.76,38.08,79.82,0.13,0.69,107.35,16.36
Company_161,Healthcare,UK,44.66,119.56,48.36,45.17,0.23,0.58,106.29,11.69
Company_162,Technology,Germany,18.33,90.81,26.15,55.81,0.54,0.83,91.78,10.57
Company_163,Utilities,Canada,84.08,89.07,14.32,66.64,0.24,0.62,192.14,19.85
Company_164,Energy,UK,66.98,213.67,42.8,64.06,0.23,0.84,97.42,5.5
Company_165,Energy,Germany,57.21,42.13,44.97,56.73,0.56,0.53,158.2,11.81
Company_166,Energy,Germany,58.97,14.0,26.65,86.47,0.26,0.63,106.05,0.18
Company_167,Finance,Japan,48.51,168.23,8.19,53.02,0.34,0.73,78.46,10.12
Company_168,Energy,India,36.72,56.61,35.71,62.36,0.4,0.49,114.78,6.46
Company_169,Energy,India,48.84,145.55,46.94,42.12,0.43,0.63,103.17,6.71
Company_170,Consumer Goods,India,36.89,111.38,10.61,68.76,0.17,0.47,101.51,10.99
Company_171,Energy,USA,34.08,149.78,75.73,87.85,0.42,0.88,48.37,16.12
Company_172,Technology,Japan,67.19,89.39,37.04,51.76,0.12,0.59,119.6,10.22
Company_173,Healthcare,USA,142.27,44.31,50.32,84.04,0.24,0.72,59.69,11.18
Company_174,Energy,USA,43.52,139.51,58.18,48.87,0.54,0.8,73.13,13.53
Company_175,Energy,Germany,5.0,29.93,17.05,41.73,0.59,0.82,155.09,15.88
Company_176,Finance,Japan,23.23,179.84,15.79,69.26,0.43,0.41,52.32,13.84
Company_177,Energy,Japan,64.42,51.67,28.63,49.23,0.25,0.75,41.15,6.36
Company_178,Consumer Goods,USA,26.24,60.2,41.54,40.21,0.3,0.62,30.0,7.74
Company_179,Technology,Germany,64.61,161.75,26.25,78.53,0.39,0.48,78.06,10.88
Company_180,Finance,Canada,102.46,114.9,11.55,59.13,0.37,0.63,138.95,9.77
Company_181,Healthcare,UK,78.86,105.9,57.23,57.9,0.38,0.64,55.16,6.88
Company_182,Consumer Goods,USA,65.1,88.27,34.74,72.15,0.34,0.55,179.72,5.06
Company_183,Consumer Goods,USA,56.7,86.74,28.37,42.71,0.38,0.62,129.9,5.18
Company_184,Utilities,UK,53.29,34.43,75.23,47.96,0.28,0.47,101.05,9.15
Company_185,Utilities,Germany,25.62,13.35,60.83,64.06,0.25,0.72,92.51,13.43
Company_186,Utilities,UK,74.8,118.32,52.82,73.36,0.56,0.6,100.16,11.33
Company_187,Utilities,Germany,49.08,108.14,72.18,89.4,0.18,0.55,125.02,17.51
Company_188,Finance,UK,117.71,29.92,79.89,62.16,0.28,0.87,61.13,4.42
Company_189,Consumer Goods,Germany,9.77,120.09,67.99,70.52,0.37,0.76,169.86,3.98
Company_190,Energy,India,31.11,102.55,56.71,83.81,0.49,0.72,77.12,12.38
Company_191,Energy,India,117.34,86.12,43.63,58.57,0.17,0.86,68.83,-2.36
Company_192,Energy,UK,81.45,111.86,64.38,46.1,0.29,0.68,113.21,-0.98
Company_193,Finance,USA,37.28,77.19,48.42,80.84,0.52,0.51,78.49,6.13
Company_194,Finance,USA,5.0,100.42,26.03,64.84,0.22,0.59,144.23,13.35
Company_195,Technology,Germany,39.86,138.57,17.88,84.45,0.58,0.66,148.99,10.24
Company_196,Consumer Goods,UK,79.35,132.92,72.46,70.82,0.39,0.77,178.66,12.04
Company_197,Healthcare,Canada,82.37,136.18,56.79,61.65,0.59,0.6,30.0,8.07
Company_198,Finance,Canada,70.61,199.93,67.44,46.06,0.49,0.79,119.09,16.87
Company_199,Utilities,India,51.65,105.5,72.75,65.54,0.15,0.55,125.6,7.63
Company_200,Healthcare,India,47.26,75.91,17.18,60.66,0.49,0.8,123.89,10.29
Company_201,Healthcare,Germany,56.07,31.47,69.94,74.41,0.36,0.6,130.22,18.72
Company_202,Consumer Goods,India,34.64,56.44,36.5,88.21,0.44,0.63,109.81,17.69
Company_203,Energy,Germany,24.57,10.0,24.15,52.6,0.39,0.79,145.54,11.55
Company_204,Technology,Canada,69.91,97.07,12.65,88.95,0.46,0.56,188.8,9.68
Company_205,Utilities,India,47.44,81.39,75.24,73.96,0.5,0.48,91.17,-1.59
Company_206,Consumer Goods,UK,66.07,31.03,25.24,49.85,0.39,0.47,65.09,6.27
Company_207,Technology,UK,63.02,160.92,62.33,55.96,0.6,0.86,177.97,3.47
Company_208,Energy,India,107.24,87.0,29.69,58.95,0.26,0.62,110.96,-1.85
Company_209,Healthcare,Japan,61.05,46.8,14.11,70.99,0.38,0.88,168.19,4.51
Company_210,Finance,Canada,69.4,92.41,39.42,41.29,0.13,0.85,141.79,23.42
Company_211,Consumer Goods,USA,24.85,100.8,17.4,49.36,0.13,0.56,140.49,18.35
Company_212,Finance,Japan,72.65,10.89,28.83,74.77,0.11,0.6,88.73,0.91
Company_213,Consumer Goods,India,37.27,59.56,8.94,68.26,0.57,0.65,39.5,5.65
Company_214,Utilities,Germany,65.12,147.53,20.46,46.15,0.34,0.88,150.68,11.18
Company_215,Energy,USA,16.35,10.79,72.75,47.69,0.35,0.75,54.2,5.5
Company_216,Energy,Japan,42.68,67.68,71.56,42.57,0.57,0.73,38.97,9.19
Company_217,Utilities,Japan,121.41,76.2,18.15,71.09,0.25,0.82,130.54,11.87
Company_218,Healthcare,Canada,77.32,162.3,43.4,88.0,0.59,0.89,73.86,12.18
Company_219,Technology,UK,80.13,145.36,12.02,64.09,0.1,0.72,136.44,13.7
Company_220,Healthcare,Japan,15.98,97.72,32.07,71.27,0.5,0.53,106.35,3.36
Company_221,Utilities,Canada,18.85,51.2,14.32,47.17,0.28,0.59,97.04,16.46
Company_222,Healthcare,USA,71.57,67.97,67.08,63.13,0.55,0.75,88.47,6.62
Company_223,Finance,Germany,26.03,91.24,36.29,43.6,0.11,0.75,90.06,5.54
Company_224,Consumer Goods,Japan,47.83,143.01,26.35,81.94,0.15,0.65,50.74,12.25
Company_225,Consumer Goods,UK,22.59,187.64,18.11,53.72,0.37,0.56,96.96,1.91
Company_226,Finance,Canada,50.59,69.21,14.36,60.74,0.27,0.56,138.88,0.57
Company_227,Consumer Goods,Canada,59.7,143.06,7.61,70.74,0.41,0.8,89.97,11.89
Company_228,Healthcare,India,39.61,58.89,23.72,86.28,0.47,0.6,91.93,10.12
Company_229,Consumer Goods,Japan,17.3,90.53,10.42,63.99,0.12,0.66,48.61,2.2
Company_230,Energy,India,48.9,104.34,74.55,69.91,0.16,0.56,45.74,10.14
Company_231,Technology,UK,46.13,102.0,74.2,41.98,0.33,0.45,84.13,8.11
Company_232,Healthcare,USA,54.15,78.77,33.21,59.3,0.26,0.48,97.05,17.88
Company_233,Healthcare,India,61.7,86.5,21.46,71.62,0.57,0.67,30.0,9.65
Company_234,Utilities,Canada,58.96,199.79,16.78,81.98,0.49,0.58,88.15,11.33
Company_235,Healthcare,USA,43.43,146.02,25.21,70.36,0.35,0.85,188.94,13.39
Company_236,Consumer Goods,UK,16.74,74.11,9.79,70.06,0.48,0.79,119.43,9.68
Company_237,Finance,Canada,27.39,33.0,27.51,88.91,0.52,0.52,176.78,7.01
Company_238,Finance,UK,30.58,169.94,31.41,40.05,0.22,0.69,160.74,14.6
Company_239,Energy,Germany,98.31,122.53,27.41,69.83,0.44,0.65,90.59,17.45
Company_240,Utilities,USA,88.44,51.61,14.95,68.62,0.33,0.65,99.5,8.18
Company_241,Utilities,Canada,16.87,125.98,67.11,83.4,0.53,0.56,156.93,11.27
Company_242,Consumer Goods,USA,33.58,99.64,77.11,86.58,0.31,0.87,190.82,-1.63
Company_243,Technology,Canada,70.83,73.7,65.41,79.41,0.38,0.49,67.81,9.98
Company_244,Consumer Goods,Germany,18.53,81.22,74.78,42.98,0.1,0.89,115.59,3.04
Company_245,Energy,USA,8.29,12.09,55.77,48.85,0.52,0.55,96.34,6.54
Company_246,Healthcare,India,17.08,169.72,26.13,74.8,0.37,0.53,165.82,19.68
Company_247,Finance,Japan,70.89,83.77,60.71,68.69,0.11,0.84,167.51,4.9
Company_248,Finance,Germany,87.72,115.28,53.5,51.65,0.58,0.54,114.06,12.91
Company_249,Technology,Germany,27.62,44.43,41.8,50.53,0.34,0.78,118.87,6.13
Company_250,Energy,UK,40.21,114.83,23.47,42.9,0.28,0.46,137.83,9.77
Company_251,Technology,Canada,37.37,114.45,62.2,86.5,0.33,0.86,95.18,12.83
Company_252,Healthcare,Germany,52.57,125.59,31.88,64.23,0.23,0.64,118.42,6.46
Company_253,Finance,India,41.85,156.55,9.06,61.81,0.23,0.8,158.34,16.26
Company_254,Technology,Japan,36.87,111.48,25.67,85.17,0.41,0.7,101.43,7.26
Company_255,Consumer Goods,Japan,68.91,149.73,6.84,88.44,0.57,0.88,128.74,6.32
Company_256,Consumer Goods,UK,5.0,93.54,31.76,89.23,0.57,0.7,110.03,4.69
Company_257,Finance,Japan,46.96,110.46,38.11,79.51,0.26,0.72,56.38,10.44
Company_258,Consumer Goods,Germany,66.54,87.31,9.21,40.51,0.28,0.83,92.13,3.75
Company_259,Energy,USA,18.64,83.42,41.61,77.05,0.57,0.79,52.38,11.63
Company_260,Healthcare,UK,36.91,144.78,61.28,61.7,0.54,0.79,75.05,5.81
Company_261,Technology,USA,9.94,99.95,74.87,72.37,0.32,0.78,71.32,8.15
Company_262,Consumer Goods,Germany,32.94,127.89,44.37,52.93,0.55,0.76,100.89,11.07
Company_263,Healthcare,Germany,84.12,81.55,54.94,89.42,0.5,0.53,148.72,3.33
Company_264,Finance,UK,49.47,71.41,30.13,44.17,0.39,0.59,86.07,12.99
Company_265,Technology,Germany,15.5,113.85,6.55,72.18,0.48,0.88,120.56,6.12
Company_266,Consumer Goods,UK,61.51,126.78,25.71,86.33,0.57,0.82,97.1,9.67
Company_267,Utilities,Canada,66.97,106.78,6.13,57.43,0.44,0.44,90.02,11.06
Company_268,Technology,Canada,51.76,77.23,77.14,51.57,0.47,0.84,158.12,4.87
Company_269,Energy,USA,59.77,118.44,26.47,70.74,0.18,0.84,109.8,10.33
Company_270,Healthcare,India,73.02,59.0,47.29,45.89,0.36,0.87,118.1,11.67
Company_271,Consumer Goods,UK,17.78,101.02,27.17,41.11,0.32,0.82,97.02,8.74
Company_272,Technology,Germany,64.02,90.26,54.68,82.1,0.46,0.84,122.41,10.31
Company_273,Consumer Goods,Canada,47.75,149.06,56.21,70.31,0.47,0.85,111.05,16.71
Company_274,Technology,Canada,82.25,151.18,41.75,64.39,0.18,0.65,90.41,17.36
Company_275,Energy,UK,84.1,48.91,38.31,85.2,0.59,0.84,30.0,8.64
Company_276,Utilities,Canada,20.41,111.96,18.26,70.22,0.47,0.69,65.69,15.27
Company_277,Technology,Canada,60.6,98.05,24.2,84.77,0.13,0.69,107.57,7.47
Company_278,Consumer Goods,India,58.0,135.1,41.35,78.72,0.18,0.54,103.31,8.92
Company_279,Utilities,Canada,23.26,120.45,57.29,56.42,0.39,0.59,141.33,14.11
Company_280,Technology,India,83.06,178.19,34.4,88.5,0.11,0.57,89.17,6.5
Company_281,Consumer Goods,UK,56.51,112.0,67.8,48.21,0.14,0.72,132.72,8.84
Company_282,Finance,Canada,63.78,135.08,50.84,77.02,0.12,0.81,90.95,5.74
Company_283,Technology,India,47.18,105.3,45.76,74.99,0.12,0.73,30.0,10.89
Company_284,Technology,India,28.75,172.0,74.84,48.13,0.4,0.78,94.01,5.91
Company_285,Technology,Canada,97.26,76.65,32.72,82.07,0.6,0.71,152.11,6.65
Company_286,Consumer Goods,India,64.75,169.63,25.62,81.61,0.36,0.45,59.4,8.85
Company_287,Energy,UK,42.15,166.37,5.46,61.97,0.31,0.75,58.69,10.54
Company_288,Utilities,UK,104.96,112.8,77.08,74.66,0.25,0.84,145.68,4.29
Company_289,Energy,USA,45.09,51.71,25.03,59.39,0.58,0.52,38.05,10.3
Company_290,Finance,India,42.62,53.68,64.34,61.55,0.42,0.61,123.83,4.52
Company_291,Technology,Canada,35.15,137.86,22.13,49.18,0.24,0.57,206.9,3.31
Company_292,Healthcare,Japan,73.8,82.61,67.95,42.53,0.49,0.79,160.49,15.87
Company_293,Energy,India,47.55,55.25,51.49,64.65,0.12,0.89,116.0,8.95
Company_294,Healthcare,Canada,90.15,84.62,32.25,72.73,0.23,0.83,123.43,5.36
Company_295,Consumer Goods,USA,70.32,139.03,70.53,60.7,0.34,0.41,125.18,18.23
Company_296,Healthcare,UK,67.08,66.46,40.76,66.63,0.17,0.87,45.71,9.39
Company_297,Technology,Japan,5.0,98.38,62.3,59.19,0.19,0.83,68.35,10.76
Company_298,Utilities,Germany,77.16,71.78,32.55,84.47,0.38,0.48,84.04,1.64
Company_299,Consumer Goods,UK,48.17,34.78,76.76,48.25,0.17,0.82,113.23,15.45
Company_300,Consumer Goods,UK,34.01,27.88,64.71,54.08,0.26,0.41,30.0,8.1
